time,x_mpc,y_mpc,z_mpc,vx_mpc,vy_mpc,vz_mpc
1.480002951912568321e+01,6.503420521236780161e-01,1.197961615164769116e-02,2.535864795679216299e-01,1.708403891518898033e-03,-5.864846391953597304e-02,-8.291120267174769852e-04
1.490002971857923519e+01,6.504864607871900795e-01,6.374880676755891214e-03,2.535058135647563216e-01,1.179763618169807782e-03,-5.344602200186635010e-02,-7.842048187715919098e-04
1.500002991803278718e+01,6.505861544981672573e-01,1.317343210537525247e-03,2.534305055283606611e-01,8.141066245293409904e-04,-4.770452557414104483e-02,-7.219529050564666090e-04
1.510003011748633917e+01,6.506555541413044930e-01,-3.150387463690383551e-03,2.533620066196313192e-01,5.738834698208873479e-04,-4.164990968982220515e-02,-6.480225370662649927e-04
1.520003031693989115e+01,6.507078634440267573e-01,-7.020908684689370488e-03,2.533012112277065464e-01,4.723004979733973685e-04,-3.576036033262441211e-02,-5.678828762621146485e-04
1.530003051639344314e+01,6.507576662305196713e-01,-1.031166430244640810e-02,2.532487882968027515e-01,5.237532452209322760e-04,-3.005462075219886287e-02,-4.805736506301798135e-04
1.540003071584699512e+01,6.508187655114535675e-01,-1.305010175756769926e-02,2.532052708289162513e-01,6.982299361683715283e-04,-2.471401911222941353e-02,-3.897739711602465104e-04
1.550003091530054711e+01,6.508997106929635956e-01,-1.527905236795941250e-02,2.531707350157038627e-01,9.206704650775579058e-04,-1.986490418135895830e-02,-3.009409154324209769e-04
1.560003111475409909e+01,6.509995342187065992e-01,-1.705099983193837654e-02,2.531446231560014470e-01,1.075796067758616383e-03,-1.557397441411818677e-02,-2.212952369979754588e-04
1.570003131420765108e+01,6.511045652298025344e-01,-1.842251979042332580e-02,2.531255831867654793e-01,1.024819964405853951e-03,-1.185637004478444154e-02,-1.595033882049862986e-04
1.580003151366120306e+01,6.511872957278249663e-01,-1.944995017189042955e-02,2.531113551897563041e-01,6.297866958715518052e-04,-8.692196599711606020e-03,-1.250559844154050960e-04
1.590003171311475505e+01,6.512071013858704571e-01,-2.018727413317395608e-02,2.530986925012795319e-01,-2.336743250208637513e-04,-6.054253213641039646e-03,-1.281972799980454260e-04
1.600003191256830704e+01,6.511153384872953032e-01,-2.068352385485521666e-02,2.530835839503873252e-01,-1.601579986002526265e-03,-3.870721424269752287e-03,-1.739731351569085425e-04
