time,x_desired,y_desired,z_desired
1.347899429772428732e+02,5.244484071462717223e-01,7.144442629430081929e-05,7.386043809819589079e-01
1.347999429730123779e+02,5.244450103289879372e-01,7.831691855610971504e-05,7.385931898518762750e-01
1.348099429687819111e+02,5.244416542317300589e-01,8.523006411855684069e-05,7.385821429886280098e-01
1.348199429645514158e+02,5.244383388084838948e-01,9.218335564541534750e-05,7.385712403675740445e-01
1.348299429603209205e+02,5.244350640121692164e-01,9.917628357571828702e-05,7.385604819610567251e-01
1.348399429560904252e+02,5.244318297946398699e-01,1.062083361266977883e-04,7.385498677384007005e-01
1.348499429518599584e+02,5.244286361066836655e-01,1.132789992967405659e-04,7.385393976659127002e-01
1.348599429476294631e+02,5.244254828980228211e-01,1.203877568683594878e-04,7.385290717068812016e-01
1.348699429433989678e+02,5.244223701173135188e-01,1.275340904111812838e-04,7.385188898215766518e-01
1.348799429391684725e+02,5.244192977121464594e-01,1.347174792849503147e-04,7.385088519672510232e-01
1.348899429349379773e+02,5.244162656290466407e-01,1.419374006425482373e-04,7.384989580981380364e-01
1.348999429307075104e+02,5.244132738134736904e-01,1.491933294330296763e-04,7.384892081654528262e-01
1.349099429264770151e+02,5.244103222098218664e-01,1.564847384046738328e-04,7.384796021173921643e-01
1.349199429222465199e+02,5.244074107614201674e-01,1.638110981080517466e-04,7.384701398991343479e-01
1.349299429180160246e+02,5.244045394105326663e-01,1.711718768991094149e-04,7.384608214528393111e-01
1.349399429137855577e+02,5.244017080983582879e-01,1.785665409422667130e-04,7.384516467176486243e-01
1.349499429095550624e+02,5.243989167650312533e-01,1.859945542135318193e-04,7.384426156296858279e-01
1.349599429053245672e+02,5.243961653496213016e-01,1.934553785036313071e-04,7.384337281220563209e-01
1.349699429010940719e+02,5.243934537901335791e-01,2.009484734211558217e-04,7.384249841248474722e-01
1.349799428968636050e+02,5.243907820235091943e-01,2.084732963957212069e-04,7.384163835651290642e-01
1.349899428926331098e+02,5.243881499856252182e-01,2.160293026811450825e-04,7.384079263669534043e-01
1.349999428884026145e+02,5.243855576112947947e-01,2.236159453586387621e-04,7.383996124513555470e-01
1.350099428841721192e+02,5.243830048342674743e-01,2.312326753400146216e-04,7.383914417363535154e-01
1.350199428799416239e+02,5.243804915872295469e-01,2.388789413709085647e-04,7.383834141369486348e-01
1.350299428757111571e+02,5.243780178018040417e-01,2.465541900340178843e-04,7.383755295651260875e-01
1.350399428714806618e+02,5.243755834085512824e-01,2.542578657523541130e-04,7.383677879298549129e-01
1.350499428672501665e+02,5.243731883369688873e-01,2.619894107925111338e-04,7.383601891370887849e-01
1.350599428630196712e+02,5.243708325154922134e-01,2.697482652679482795e-04,7.383527330897660113e-01
1.350699428587892044e+02,5.243685158714943562e-01,2.775338671422884762e-04,7.383454196878103115e-01
1.350799428545587091e+02,5.243662383312869268e-01,2.853456522326311309e-04,7.383382488281310385e-01
1.350899428503282138e+02,5.243639998201198305e-01,2.931830542128801989e-04,7.383312204046240668e-01
1.350999428460977185e+02,5.243618002621819318e-01,3.010455046170869417e-04,7.383243343081719035e-01
1.351099428418672517e+02,5.243596395806011667e-01,3.089324328428074296e-04,7.383175904266443546e-01
1.351199428376367564e+02,5.243575176974449858e-01,3.168432661544747365e-04,7.383109886448994130e-01
1.351299428334062611e+02,5.243554345337207989e-01,3.247774296867859869e-04,7.383045288447834809e-01
1.351399428291757658e+02,5.243533900093760858e-01,3.327343464481038776e-04,7.382982109051321462e-01
1.351499428249452706e+02,5.243513840432987294e-01,3.407134373238726198e-04,7.382920347017710716e-01
1.351599428207148037e+02,5.243494165533177931e-01,3.487141210800486792e-04,7.382860001075162160e-01
1.351699428164843084e+02,5.243474874562034094e-01,3.567358143665458835e-04,7.382801069921750559e-01
1.351799428122538131e+02,5.243455966676673352e-01,3.647779317206946230e-04,7.382743552225470296e-01
1.351899428080233179e+02,5.243437441023636181e-01,3.728398855707157973e-04,7.382687446624245364e-01
1.351999428037928510e+02,5.243419296738885960e-01,3.809210862392088020e-04,7.382632751725934916e-01
1.352099427995623557e+02,5.243401532947815635e-01,3.890209419466537726e-04,7.382579466108343258e-01
1.352199427953318605e+02,5.243384148765251052e-01,3.971388588149280864e-04,7.382527588319228729e-01
1.352299427911013652e+02,5.243367143295455390e-01,4.052742408708367950e-04,7.382477116876311474e-01
1.352399427868708983e+02,5.243350515632133613e-01,4.134264900496573700e-04,7.382428050267283437e-01
1.352499427826404030e+02,5.243334264858438010e-01,4.215950061986982163e-04,7.382380386949818352e-01
1.352599427784099078e+02,5.243318390046970423e-01,4.297791870808711731e-04,7.382334125351578402e-01
1.352699427741794125e+02,5.243302890259790017e-01,4.379784283782781084e-04,7.382289263870228657e-01
1.352799427699489172e+02,5.243287764548415497e-01,4.461921236958111213e-04,7.382245800873444841e-01
1.352899427657184503e+02,5.243273011953831775e-01,4.544196645647666211e-04,7.382203734698922215e-01
1.352999427614879551e+02,5.243258631506493295e-01,4.626604404464730136e-04,7.382163063654390012e-01
1.353099427572574598e+02,5.243244622226331808e-01,4.709138387359322652e-04,7.382123786017621425e-01
1.353199427530269645e+02,5.243230983122757483e-01,4.791792447654749654e-04,7.382085900036441384e-01
1.353299427487964977e+02,5.243217713194670004e-01,4.874560418084289415e-04,7.382049403928744313e-01
1.353399427445660024e+02,5.243204811430457468e-01,4.957436110828013177e-04,7.382014295882500798e-01
1.353499427403355071e+02,5.243192276808006369e-01,5.040413317549741808e-04,7.381980574055770905e-01
