time,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6,tau_j7
5.739997571699489320e+00,1.423177547797988662e+00,-2.527149678529496768e+01,-4.568786688838268883e-01,8.810816009039823538e-02,-1.837773016313557495e-01,9.755555560101063506e-01,9.158769061129473643e-02
5.749997567469000259e+00,1.393141437716230335e+00,-2.764209332255268237e+01,-4.369198991823310951e-01,2.103332132886198691e-01,-1.990855079945788864e-01,1.057669653127915055e+00,9.918524466451293653e-02
5.759997563238511198e+00,1.359850613036134526e+00,-3.012860339911265939e+01,-3.402945307255220708e-01,3.301795623377281608e-01,-2.193187453147871502e-01,1.145293388888551478e+00,1.069922503181478801e-01
5.769997559008023025e+00,1.322402862741716811e+00,-3.263029657039690079e+01,-1.371640575349382107e-01,4.346653228402934110e-01,-2.456051092998859375e-01,1.239050448957393247e+00,1.148626866851771844e-01
5.779997554777533963e+00,1.279798841687796784e+00,-3.504128229880053880e+01,2.005619089366202923e-01,5.038979250155694034e-01,-2.791851498015613386e-01,1.338035247369259828e+00,1.226465341796376812e-01
5.789997550547045790e+00,1.231099438624859488e+00,-3.726173069968787388e+01,6.959371198243766710e-01,5.105949569880650074e-01,-3.213282665730592402e-01,1.439363550903590250e+00,1.302115237943197446e-01
5.799997546316556729e+00,1.175698574233359661e+00,-3.921255187180775437e+01,1.363903156506588887e+00,4.201460137280392804e-01,-3.732482800961642311e-01,1.537776469358657083e+00,1.374656231968161002e-01
5.809997542086067668e+00,1.113687247376356604e+00,-4.084764785806939358e+01,2.209670589274824515e+00,1.909019666471238885e-01,-4.360275123474769421e-01,1.625426219122676930e+00,1.443702335722573671e-01
5.819997537855579495e+00,1.046183609898312383e+00,-4.215552785648073808e+01,3.229060980172749673e+00,-2.260514976187770753e-01,-5.105428387066803797e-01,1.691871057915278032e+00,1.509342711892056321e-01
5.829997533625090433e+00,9.754092965881270283e-01,-4.314415752513922087e+01,4.409537831094604954e+00,-8.882488739802827382e-01,-5.973598012364809140e-01,1.724128349619364675e+00,1.571888168204083058e-01
5.839997529394602260e+00,9.043413268471196531e-01,-4.381073366475589381e+01,5.729000359033891598e+00,-1.863786318030403955e+00,-6.965447764894358018e-01,1.706563380553163256e+00,1.631580634047261891e-01
5.849997525164113199e+00,8.360248929862272860e-01,-4.410722391647068008e+01,7.149676942472211749e+00,-3.231467530640634855e+00,-8.073590589144886698e-01,1.620647400077371181e+00,1.688512246322431409e-01
5.859997520933624138e+00,7.728898270171320473e-01,-4.391574680426978716e+01,8.607008187562115609e+00,-5.075299131921074292e+00,-9.278235287778462403e-01,1.445144817766610856e+00,1.742906190501230246e-01
5.869997516703135965e+00,7.163879410264183401e-01,-4.304439915448582354e+01,9.996793659694922951e+00,-7.469131023103853906e+00,-1.054151947184662763e+00,1.157734111648022646e+00,1.795699153807762405e-01
5.879997512472646903e+00,6.670059547862978722e-01,-4.125023779765545129e+01,1.116700789780652414e+01,-1.044846156351200861e+01,-1.180086259970981599e+00,7.391288077342345053e-01,1.849174986137242516e-01
5.889997508242158730e+00,6.245007205668380301e-01,-3.829422978188076598e+01,1.192337931107832993e+01,-1.397056738007574772e+01,-1.296317453629595828e+00,1.802339772100368664e-01,1.907261149538614919e-01
5.899997504011669669e+00,5.881801855114792144e-01,-3.402687572268394689e+01,1.205822521850012663e+01,-1.787289627982088547e+01,-1.390449951253951877e+00,-5.085936620066273672e-01,1.975018349841628773e-01
5.909997499781181496e+00,5.571291354721477074e-01,-2.848590771217554973e+01,1.140557795587380419e+01,-2.185139261875207239e+01,-1.448177904329679411e+00,-1.289585520126843798e+00,2.056995055874036304e-01
5.919997495550692435e+00,5.303510014984909038e-01,-2.196352017490587016e+01,9.909381191946060596e+00,-2.548573153608070996e+01,-1.456105374057584667e+00,-2.096469246600869862e+00,2.154719104913326022e-01
5.929997491320203373e+00,5.068360144792724009e-01,-1.499227038828480474e+01,7.672698425427719293e+00,-2.832349578360395981e+01,-1.405700531203708081e+00,-2.844782855499026653e+00,2.264518045154010062e-01
5.939997487089715200e+00,4.855813828573730118e-01,-8.218054036982312738e+00,4.946387790688657304e+00,-2.997671319511274390e+01,-1.297561973091649667e+00,-3.444918013848327742e+00,2.370893907604119943e-01
5.949997482859226139e+00,4.655915184116722338e-01,-2.277819722539163649e+00,2.091605574505115861e+00,-3.030538449580222249e+01,-1.140962525787402759e+00,-3.846807564192650464e+00,2.466214647233878343e-01
5.959997478628737966e+00,4.458708988820454522e-01,2.416248136611249819e+00,-5.526061191775373249e-01,-2.935931018592667385e+01,-9.510482959137017689e-01,-4.032788214043524277e+00,2.542315090253644549e-01
5.969997474398248904e+00,4.254409064347016711e-01,5.700606372592194049e+00,-2.733612909105094246e+00,-2.732996135398142812e+01,-7.454433370511923673e-01,-4.013796630254556241e+00,2.592072542158980197e-01
5.979997470167759843e+00,4.033438945184343871e-01,7.611869652945999043e+00,-4.307417853293516785e+00,-2.448217173144241343e+01,-5.401749960925097405e-01,-3.821639631600460163e+00,2.613602153561936925e-01
5.989997465937271670e+00,3.786305858074289765e-01,8.305191829566780370e+00,-5.225662456373801668e+00,-2.107764325612834710e+01,-3.473716116723385428e-01,-3.495378061124278180e+00,2.609520017367609745e-01
5.999997461706782609e+00,3.503240844839234369e-01,7.971118327475885224e+00,-5.501320372829114902e+00,-1.732597104473533633e+01,-1.747183177453310865e-01,-3.070785401563379313e+00,2.585214802138392498e-01
6.009997457476294436e+00,3.173562051810578932e-01,6.773067405118114337e+00,-5.171476528078500223e+00,-1.336457590595054157e+01,-2.620281615437156791e-02,-2.574381061108976354e+00,2.546865044880348150e-01
6.019997453245805374e+00,2.784744594290342046e-01,4.807966111341474225e+00,-4.267136483579063722e+00,-9.259543414134240535e+00,9.648021887596748558e-02,-2.021406592390651014e+00,2.499761743412854398e-01
6.029997449015317201e+00,2.321215136345977370e-01,2.079959619973216878e+00,-2.791080055752584776e+00,-5.015247044613761140e+00,1.923606166720225330e-01,-1.415803813438561765e+00,2.447160144221657840e-01
6.039997444784828140e+00,1.762956486022140556e-01,-1.523784460908104155e+00,-7.020905589435665339e-01,-5.889329888202818886e-01,2.594778858160712298e-01,-7.510583282816524209e-01,2.389232797792300855e-01
6.049997440554339079e+00,1.084203490263953018e-01,-6.266591817741506532e+00,2.096759320503001511e+00,4.090085683230157088e+00,2.929099605676991347e-01,-1.130052545971857447e-02,2.321813256260074343e-01
6.059997436323850906e+00,2.529574765081560317e-02,-1.261622466287200517e+01,5.766136283194252421e+00,9.091469949613024681e+00,2.822637569025961968e-01,8.272520426586496001e-01,2.234492027622129728e-01
6.069997432093361844e+00,-7.614461987928594633e-02,-2.111814722267896371e+01,1.046614454681454731e+01,1.429561348216502026e+01,2.054248664311248418e-01,1.808863768815241579e+00,2.066188052178345169e-01
6.079997427862873671e+00,-1.913214687513141166e-01,-3.223023130093761068e+01,1.607963117436607448e+01,1.932436256074428726e+01,5.322846309650565433e-02,2.933715203416748629e+00,1.792004531609120432e-01
6.089997423632384610e+00,-3.162284147307867777e-01,-4.818641338379088523e+01,2.317313407691501936e+01,2.479312445077356131e+01,-2.011218524741426594e-01,4.356841615810784774e+00,1.214977153638913121e-01
6.099997419401895549e+00,-4.495874577741434397e-01,-6.962276218221921908e+01,3.125866018392837020e+01,2.957082773886432392e+01,-5.746352436101946903e-01,5.898562950145884720e+00,5.511644769864678522e-02
6.109997415171407376e+00,-5.895992895197347261e-01,-8.700000000000000000e+01,4.026615527100041447e+01,3.308487712195717734e+01,-1.111195823405048744e+00,7.570840959627943789e+00,-2.765273484192892761e-02
6.119997410940918314e+00,-7.319230752064525003e-01,-8.700000000000000000e+01,4.956273836576414737e+01,3.411945586463603064e+01,-1.850468053556286296e+00,9.303162862613431727e+00,-1.372610431795713293e-01
6.129997406710430141e+00,-8.723042884575475941e-01,-8.700000000000000000e+01,5.697006225574592264e+01,3.043777773453873436e+01,-2.764002095908450141e+00,1.073881131216764118e+01,-2.745874406200075613e-01
6.139997402479941080e+00,-1.002332206299849870e+00,-8.700000000000000000e+01,5.749801936094944210e+01,1.954590595973429501e+01,-3.598472815128848534e+00,1.094664444829456684e+01,-3.999419799664589714e-01
6.149997398249452019e+00,-1.103167194060385992e+00,-8.700000000000000000e+01,4.807063658440799969e+01,3.398499581081767307e+00,-3.944826672727451911e+00,9.330552261111039414e+00,-4.520820965261737046e-01
6.159997394018963845e+00,-1.154949116934983477e+00,-8.700000000000000000e+01,3.232707265348768999e+01,-1.126202119404046442e+01,-3.625710123870059753e+00,6.505981383612014390e+00,-4.078872407130510469e-01
6.169997389788474784e+00,-1.152935912965101117e+00,-8.700000000000000000e+01,1.757418862087234146e+01,-1.953957876070782973e+01,-2.910768260288489895e+00,3.769885632837688849e+00,-3.127608984071499343e-01
