time,x_des,y_des,z_des,vx_des,vy_des,vz_des
1.284601999999999933e+01,4.720593042320042065e-01,-6.330597118855137151e-02,3.636490515448865396e-02,-9.484535731140650294e-02,-6.296487329286383494e-02,3.396383825529240841e-02
1.294631000000000043e+01,4.645156973853039606e-01,-6.961758102287415872e-02,3.980687102223346568e-02,-5.513353729790568258e-02,-6.275713189543472015e-02,3.392909786951405632e-02
1.304666999999999888e+01,4.609930053792894444e-01,-7.590246346405242484e-02,4.317508921357156304e-02,-1.519619137291669704e-02,-6.239530993941052456e-02,3.243233193729313374e-02
1.314701999999999948e+01,4.614655467256957300e-01,-8.214144908282375313e-02,4.631662706725626216e-02,2.396198445379242592e-02,-6.188872284569475052e-02,2.944641667670083729e-02
1.324737000000000009e+01,4.658026093710841975e-01,-8.832465032506686686e-02,4.908551802072726872e-02,6.138550945208991194e-02,-6.129305069921792137e-02,2.506797789017183031e-02
1.334773999999999994e+01,4.737867295504512577e-01,-9.444407376237444474e-02,5.134822396021355984e-02,9.623254723578780756e-02,-6.059798929044143273e-02,1.945310164237797415e-02
1.344810000000000016e+01,4.851182234104117752e-01,-1.004877635992646179e-01,5.299010762149225506e-02,1.277802954943758895e-01,-5.977857864743162108e-02,1.283092284639654988e-02
1.354844999999999899e+01,4.994345476795209460e-01,-1.064427164891874888e-01,5.392362241518886684e-02,1.554832395333250461e-01,-5.881297144049568715e-02,5.489562974616537562e-03
1.364880999999999922e+01,5.163265238313856642e-01,-1.122925914821551741e-01,5.409196227158763470e-02,1.789115400318304905e-01,-5.765052849971622623e-02,-2.251526322431637601e-03
1.374917999999999907e+01,5.353453320627838963e-01,-1.180142210336463798e-01,5.347170032965040121e-02,1.977031657504935702e-01,-5.621543078271446642e-02,-1.004768998684257668e-02
1.384952000000000005e+01,5.560091276248098069e-01,-1.235760459395431332e-01,5.207520902803956797e-02,2.117325518021754005e-01,-5.445913212883558840e-02,-1.755583420982031323e-02
1.394988000000000028e+01,5.778438875686681131e-01,-1.289451545621952133e-01,4.994792664314026687e-02,2.209560073813665870e-01,-5.232350048871870635e-02,-2.444193218128713416e-02
1.405022999999999911e+01,6.003589976099836800e-01,-1.340783195429878227e-01,4.716927084028275929e-02,2.254001766001967610e-01,-4.974430222008861813e-02,-3.039634321020312155e-02
1.415058999999999934e+01,6.230857827555240647e-01,-1.389297363896371817e-01,4.384683038704039609e-02,2.252404380713119991e-01,-4.668088509657455920e-02,-3.514829780087587452e-02
1.425094999999999956e+01,6.455688303828250874e-01,-1.434480181058905846e-01,4.011437128745677649e-02,2.206933034514599046e-01,-4.309450376213105893e-02,-3.846716082041487517e-02
1.435130999999999979e+01,6.673829233070245337e-01,-1.475795833052149786e-01,3.612577495477228146e-02,2.121391856431272815e-01,-3.897799831205495807e-02,-4.019011676731977512e-02
1.445172999999999952e+01,6.881490046606608679e-01,-1.512716078688894628e-01,3.204748741114221006e-02,1.998242985816098549e-01,-3.430667947584922078e-02,-4.016967660099768356e-02
1.455208999999999975e+01,7.074912768521579576e-01,-1.544655548269164291e-01,2.806299378980556952e-02,1.841711000695054612e-01,-2.909494460757926573e-02,-3.834005298710602833e-02
1.465245999999999960e+01,7.251154779415218687e-01,-1.571114898701280183e-01,2.435194482167096428e-02,1.657126756640415755e-01,-2.338735958055909378e-02,-3.470663653170414503e-02
1.475279999999999880e+01,7.407528102573606166e-01,-1.591598212059430473e-01,2.109674364777132383e-02,1.448439173439869665e-01,-1.721648538293108280e-02,-2.929527129351333983e-02
1.485309999999999953e+01,7.541882738273639752e-01,-1.605671501048677174e-01,1.847185362865242514e-02,1.221164610008767665e-01,-1.064569403274540776e-02,-2.220689816439492051e-02
1.495345000000000013e+01,7.652637942881806987e-01,-1.612966046853770430e-01,1.663941724132048799e-02,9.795978238126738791e-02,-3.734729201081402397e-03,-1.355786413178192151e-02
1.505381000000000036e+01,7.738505752233454382e-01,-1.613167778541232944e-01,1.575054490006300850e-02,7.276354626569438155e-02,3.444846035326750745e-03,-3.497249847979941057e-03
1.515414999999999957e+01,7.798687550438929694e-01,-1.606051617343737248e-01,1.593745589660866546e-02,4.700096013323122601e-02,1.080858375901578433e-02,7.781593938995158381e-03
1.525450000000000017e+01,7.832845186394633563e-01,-1.591472994583227885e-01,1.731245165046963255e-02,2.108876736370475513e-02,1.826824980294840944e-02,2.006689042109982210e-02
1.535482999999999976e+01,7.841016523604777966e-01,-1.569383933436005463e-01,1.996524401484002162e-02,-4.599630963162295964e-03,2.573623330292113334e-02,3.313750473936673963e-02
1.545515999999999934e+01,7.823612894518362504e-01,-1.539815716086037345e-01,2.396374864049631917e-02,-2.972091339171286165e-02,3.313016060877338465e-02,4.677086803057128178e-02
1.555550000000000033e+01,7.781361270942286357e-01,-1.502885704535127098e-01,2.935300378128703064e-02,-5.397689744030240155e-02,4.036639760326597021e-02,6.074037513361187079e-02
1.565585999999999878e+01,7.715271491537238902e-01,-1.458793049778316364e-01,3.615544133060213938e-02,-7.708746823993378738e-02,4.735698024244938686e-02,7.480939225561129835e-02
1.575621999999999900e+01,7.626632769352987840e-01,-1.407831673575107301e-01,4.436860285698804307e-02,-9.878420999410657266e-02,5.400878698973593517e-02,8.873008996912683244e-02
1.585653999999999897e+01,7.516993702137058087e-01,-1.350387638699471204e-01,5.396517640203433303e-02,-1.189086808690586611e-01,6.027259413521210418e-02,1.023289083362863283e-01
1.595687999999999818e+01,7.387961524377549827e-01,-1.286853667806198143e-01,6.490786691332159353e-02,-1.373177919763641786e-01,6.609288352325257132e-02,1.154261144705295700e-01
