time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.254,-0.105283,-0.434714,-0.0920723,0.424403,-0.00769314,0.14803,-8.65841e-18
0.255,-0.105283,-0.434714,-0.0920723,0.424403,-0.00769314,0.14803,-8.65841e-18
0.256,-0.105142,-0.434394,-0.0919393,0.423959,-0.0076813,0.147845,1.21369e-19
0.257,-0.105142,-0.434394,-0.0919393,0.423959,-0.0076813,0.147845,1.21369e-19
0.258,-0.105003,-0.434082,-0.0918078,0.423526,-0.00766958,0.147665,6.46073e-18
0.259,-0.105003,-0.434082,-0.0918078,0.423526,-0.00766958,0.147665,6.46073e-18
0.26,-0.104914,-0.434016,-0.0917188,0.423434,-0.00766063,0.147626,-7.27389e-19
0.261,-0.104914,-0.434016,-0.0917188,0.423434,-0.00766063,0.147626,-7.27389e-19
0.262,-0.104778,-0.433713,-0.0915907,0.423012,-0.00764921,0.14745,7.11679e-18
0.263,-0.104778,-0.433713,-0.0915907,0.423012,-0.00764921,0.14745,7.11679e-18
0.264,-0.104644,-0.433412,-0.0914641,0.422592,-0.00763793,0.147275,-1.10205e-17
0.265,-0.104644,-0.433412,-0.0914641,0.422592,-0.00763793,0.147275,-1.10205e-17
0.266,-0.104511,-0.433123,-0.0913376,0.422189,-0.00762659,0.147107,-6.38271e-20
0.267,-0.104511,-0.433123,-0.0913376,0.422189,-0.00762659,0.147107,-6.38271e-20
0.268,-0.104378,-0.432851,-0.0912109,0.421807,-0.00761511,0.146947,7.27672e-18
0.269,-0.104378,-0.432851,-0.0912109,0.421807,-0.00761511,0.146947,7.27672e-18
0.27,-0.104247,-0.432585,-0.0910861,0.421433,-0.00760381,0.146791,-2.24783e-18
0.271,-0.104247,-0.432585,-0.0910861,0.421433,-0.00760381,0.146791,-2.24783e-18
0.272,-0.104119,-0.432319,-0.0909651,0.421057,-0.0075929,0.146633,-1.27201e-17
0.273,-0.104119,-0.432319,-0.0909651,0.421057,-0.0075929,0.146633,-1.27201e-17
0.274,-0.103991,-0.432073,-0.0908421,0.42071,-0.00758164,0.146488,-8.1228e-18
0.275,-0.103991,-0.432073,-0.0908421,0.42071,-0.00758164,0.146488,-8.1228e-18
0.276,-0.103864,-0.431835,-0.0907207,0.420372,-0.00757052,0.146345,1.25836e-17
0.277,-0.103864,-0.431835,-0.0907207,0.420372,-0.00757052,0.146345,1.25836e-17
0.278,-0.103705,-0.431595,-0.0905668,0.420069,-0.00755575,0.146224,9.9118e-18
0.279,-0.103705,-0.431595,-0.0905668,0.420069,-0.00755575,0.146224,9.9118e-18
0.28,-0.103535,-0.431377,-0.0904001,0.419806,-0.00753941,0.146121,-9.74812e-18
0.281,-0.103372,-0.431153,-0.0902416,0.419532,-0.00752402,0.146012,1.26579e-19
0.282,-0.103372,-0.431153,-0.0902416,0.419532,-0.00752402,0.146012,1.26579e-19
0.283,-0.103209,-0.430942,-0.090083,0.419274,-0.00750852,0.14591,-2.06626e-18
0.284,-0.103209,-0.430942,-0.090083,0.419274,-0.00750852,0.14591,-2.06626e-18
0.285,-0.103047,-0.430741,-0.0899237,0.419032,-0.00749289,0.145815,1.2537e-18
0.286,-0.103047,-0.430741,-0.0899237,0.419032,-0.00749289,0.145815,1.2537e-18
0.287,-0.102886,-0.430546,-0.0897662,0.418796,-0.0074774,0.145722,-9.20674e-18
0.288,-0.102886,-0.430546,-0.0897662,0.418796,-0.0074774,0.145722,-9.20674e-18
0.289,-0.102727,-0.430357,-0.0896106,0.418567,-0.00746207,0.145631,-1.15343e-17
0.29,-0.102727,-0.430357,-0.0896106,0.418567,-0.00746207,0.145631,-1.15343e-17
0.291,-0.102567,-0.430179,-0.0894538,0.418353,-0.00744655,0.145548,-1.07287e-17
0.292,-0.102567,-0.430179,-0.0894538,0.418353,-0.00744655,0.145548,-1.07287e-17
